0,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
300,0.930337,0.036694,0.006147,0.003394,0.000914,0.000581,0.000220,0.001206,0.016778,0.003728
600,0.930366,0.036694,0.006127,0.003394,0.000914,0.000581,0.000220,0.001206,0.016769,0.003728
900,0.930353,0.036717,0.006127,0.003394,0.000905,0.000581,0.000220,0.001206,0.016775,0.003721
1200,0.930296,0.036734,0.006135,0.003402,0.000913,0.000581,0.000220,0.001213,0.016784,0.003721
1500,0.930296,0.036734,0.006135,0.003402,0.000913,0.000581,0.000220,0.001213,0.016784,0.003721
1800,0.930337,0.036719,0.006125,0.003396,0.000913,0.000581,0.000220,0.001213,0.016784,0.003711
2100,0.930349,0.036688,0.006125,0.003396,0.000913,0.000587,0.000220,0.001222,0.016790,0.003711
2400,0.930299,0.036715,0.006135,0.003396,0.000913,0.000587,0.000220,0.001222,0.016790,0.003721
2700,0.930151,0.036780,0.006168,0.003415,0.000927,0.000587,0.000220,0.001235,0.016796,0.003721
3000,0.930238,0.036742,0.006159,0.003404,0.000912,0.000593,0.000230,0.001235,0.016775,0.003711
3300,0.930238,0.036742,0.006159,0.003404,0.000912,0.000593,0.000230,0.001235,0.016775,0.003711
3600,0.930274,0.036703,0.006148,0.003404,0.000923,0.000585,0.000224,0.001245,0.016775,0.003721
3900,0.930179,0.036787,0.006160,0.003397,0.000923,0.000585,0.000224,0.001245,0.016780,0.003721
4200,0.930145,0.036769,0.006178,0.003414,0.000935,0.000585,0.000224,0.001245,0.016770,0.003737
4500,0.930092,0.036794,0.006206,0.003414,0.000918,0.000590,0.000232,0.001245,0.016758,0.003751
4800,0.929995,0.036847,0.006206,0.003403,0.000918,0.000599,0.000232,0.001245,0.016786,0.003770
5100,0.929976,0.036837,0.006222,0.003425,0.000946,0.000583,0.000220,0.001251,0.016786,0.003754
5400,0.930111,0.036780,0.006146,0.003425,0.000946,0.000583,0.000220,0.001250,0.016785,0.003754
5700,0.930149,0.036781,0.006146,0.003405,0.000924,0.000588,0.000226,0.001251,0.016767,0.003763
6000,0.930065,0.036816,0.006203,0.003410,0.000924,0.000582,0.000219,0.001251,0.016767,0.003763
6300,0.930182,0.036745,0.006183,0.003410,0.000933,0.000588,0.000230,0.001251,0.016738,0.003740
6600,0.930032,0.036819,0.006205,0.003410,0.000922,0.000601,0.000230,0.001251,0.016782,0.003748
6900,0.930008,0.036801,0.006215,0.003410,0.000928,0.000587,0.000230,0.001256,0.016782,0.003784
7200,0.930008,0.036801,0.006215,0.003410,0.000928,0.000587,0.000230,0.001256,0.016782,0.003784
7500,0.929940,0.036844,0.006227,0.003424,0.000943,0.000593,0.000230,0.001256,0.016774,0.003769
7800,0.929967,0.036857,0.006218,0.003424,0.000943,0.000586,0.000224,0.001256,0.016761,0.003763
8100,0.929858,0.036922,0.006203,0.003424,0.000937,0.000594,0.000224,0.001264,0.016782,0.003791
8400,0.929810,0.036946,0.006227,0.003424,0.000937,0.000594,0.000224,0.001264,0.016783,0.003791
8700,0.929881,0.036896,0.006214,0.003424,0.000929,0.000594,0.000229,0.001264,0.016782,0.003785
9000,0.929881,0.036896,0.006214,0.003424,0.000929,0.000594,0.000229,0.001264,0.016782,0.003785
9300,0.929995,0.036850,0.006198,0.003424,0.000929,0.000594,0.000229,0.001259,0.016749,0.003772
9600,0.930022,0.036864,0.006179,0.003424,0.000929,0.000588,0.000223,0.001259,0.016749,0.003762
9900,0.929987,0.036889,0.006188,0.003424,0.000929,0.000588,0.000223,0.001259,0.016761,0.003752
10200,0.930055,0.036864,0.006166,0.003424,0.000916,0.000588,0.000223,0.001259,0.016772,0.003733
10500,0.930062,0.036871,0.006151,0.003424,0.000916,0.000588,0.000223,0.001259,0.016772,0.003733
10800,0.930041,0.036870,0.006151,0.003424,0.000916,0.000588,0.000223,0.001259,0.016795,0.003733
11100,0.930248,0.036779,0.006099,0.003424,0.000902,0.000588,0.000223,0.001259,0.016785,0.003693
11400,0.930318,0.036744,0.006071,0.003424,0.000902,0.000588,0.000223,0.001259,0.016785,0.003687
11700,0.930217,0.036822,0.006085,0.003424,0.000893,0.000588,0.000223,0.001259,0.016802,0.003687
12000,0.930315,0.036736,0.006080,0.003424,0.000893,0.000588,0.000218,0.001259,0.016812,0.003675
12300,0.930315,0.036736,0.006080,0.003424,0.000893,0.000588,0.000218,0.001259,0.016812,0.003675
12600,0.930411,0.036736,0.006028,0.003416,0.000887,0.000588,0.000218,0.001259,0.016795,0.003664
12900,0.930436,0.036719,0.006020,0.003416,0.000887,0.000588,0.000218,0.001259,0.016795,0.003664
13200,0.930407,0.036718,0.006041,0.003425,0.000887,0.000588,0.000218,0.001259,0.016803,0.003655
13500,0.930376,0.036768,0.006027,0.003425,0.000877,0.000588,0.000218,0.001259,0.016813,0.003649
