0,384.96,14190780,277.47,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
300,384.96,14190780,277.47,0.930337,0.036694,0.006147,0.003394,0.000914,0.000581,0.000220,0.001206,0.016778,0.003728,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
600,387.95,14194413,277.10,0.930366,0.036694,0.006127,0.003394,0.000914,0.000581,0.000220,0.001206,0.016769,0.003728,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
900,380.90,14187146,277.10,0.930353,0.036717,0.006127,0.003394,0.000905,0.000581,0.000220,0.001206,0.016775,0.003721,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
1200,385.68,14190301,277.10,0.930296,0.036734,0.006135,0.003402,0.000913,0.000581,0.000220,0.001213,0.016784,0.003721,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
1500,386.96,14192949,277.47,0.930296,0.036734,0.006135,0.003402,0.000913,0.000581,0.000220,0.001213,0.016784,0.003721,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
1800,383.35,14189814,277.47,0.930337,0.036719,0.006125,0.003396,0.000913,0.000581,0.000220,0.001213,0.016784,0.003711,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
2100,384.20,14189269,277.10,0.930349,0.036688,0.006125,0.003396,0.000913,0.000587,0.000220,0.001222,0.016790,0.003711,384.94,8050544,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
2400,383.60,14188015,277.10,0.930299,0.036715,0.006135,0.003396,0.000913,0.000587,0.000220,0.001222,0.016790,0.003721,387.97,8045661,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
2700,384.75,14189344,277.47,0.930151,0.036780,0.006168,0.003415,0.000927,0.000587,0.000220,0.001235,0.016796,0.003721,386.78,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
3000,386.58,14192015,277.10,0.930238,0.036742,0.006159,0.003404,0.000912,0.000593,0.000230,0.001235,0.016775,0.003711,386.31,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
3300,383.38,14189743,277.47,0.930238,0.036742,0.006159,0.003404,0.000912,0.000593,0.000230,0.001235,0.016775,0.003711,386.05,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
3600,386.97,14193372,277.47,0.930274,0.036703,0.006148,0.003404,0.000923,0.000585,0.000224,0.001245,0.016775,0.003721,385.88,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
3900,385.79,14192441,277.10,0.930179,0.036787,0.006160,0.003397,0.000923,0.000585,0.000224,0.001245,0.016780,0.003721,385.78,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
4200,381.54,14187406,277.10,0.930145,0.036769,0.006178,0.003414,0.000935,0.000585,0.000224,0.001245,0.016770,0.003737,385.71,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
4500,384.28,14188672,277.10,0.930092,0.036794,0.006206,0.003414,0.000918,0.000590,0.000232,0.001245,0.016758,0.003751,385.66,8045661,283.19,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
4800,388.81,14193927,277.10,0.929995,0.036847,0.006206,0.003403,0.000918,0.000599,0.000232,0.001245,0.016786,0.003770,388.68,8040778,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
5100,384.22,14191137,277.47,0.929976,0.036837,0.006222,0.003425,0.000946,0.000583,0.000220,0.001251,0.016786,0.003754,384.30,8045661,283.20,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
5400,387.13,14194395,277.47,0.930111,0.036780,0.006146,0.003425,0.000946,0.000583,0.000220,0.001250,0.016785,0.003754,388.05,8040778,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
5700,384.29,14192294,277.47,0.930149,0.036781,0.006146,0.003405,0.000924,0.000588,0.000226,0.001251,0.016767,0.003763,387.10,8040778,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
6000,386.08,14193974,277.47,0.930065,0.036816,0.006203,0.003410,0.000924,0.000582,0.000219,0.001251,0.016767,0.003763,386.70,8040778,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
6300,384.69,14192943,277.47,0.930182,0.036745,0.006183,0.003410,0.000933,0.000588,0.000230,0.001251,0.016738,0.003740,386.47,8040778,283.18,0.922225,0.044388,0.004359,0.002255,0.000666,0.000426,0.000197,0.000000,0.013443,0.012040
