0,0.01,0.023,0.0275,0.031,0.036,0.041,0.05,0.025,0.05
0.01,0,0.0031,0.004,0.0045,0.005,0.006,0.007,0.07,0.048
0.023,0.0031,0,0.003,0.0035,0.004,0.0045,0.005,0.1,0.045
0.0275,0.004,0.003,0,0,0.0008,0.001,0.0015,0.11,0.05
0.031,0.0045,0.0035,0,0,0.0008,0.001,0.0015,0.12,0.05
0.036,0.005,0.004,0.0008,0.0008,0,0,0,0.134,0.05
0.041,0.006,0.0045,0.001,0.001,0,0,0,0.148,0.05
0.05,0.007,0.005,0.0015,0.0015,0,0,0,0.172,0.05
0.025,0.07,0.1,0.11,0.12,0.134,0.148,0.172,0,0
0.05,0.048,0.045,0.05,0.05,0.05,0.05,0.05,0,0
